Alterações incorrectas a este ficheiro EuroMilhoes.log
podem comprometer o funcionamento do programa TUTILOTO, de AFAsoft.
140321023: 07 30 37 39 42 + 05 07
140325024: 07 20 26 28 50 + 02 08
140328025: 03 04 19 28 43 + 03 07
140401026: 16 18 26 38 44 + 08 10
140404027: 06 10 28 45 50 + 10 11
140408028: 11 18 29 42 49 + 04 11
140411029: 08 12 19 30 33 + 04 11
140415030: 03 14 26 47 50 + 07 11
140418031: 21 24 31 39 47 + 03 07
140422032: 13 15 20 24 46 + 01 08
140425033: 13 21 24 44 49 + 01 09
140429034: 18 23 26 35 44 + 03 11
140502035: 04 30 31 38 42 + 02 11
140506036: 05 19 24 31 37 + 01 09
140509037: 03 21 26 28 45 + 07 10
140513038: 04 13 30 34 47 + 02 06
140516039: 23 26 29 37 40 + 03 04
140520040: 05 33 36 38 47 + 04 09
140523041: 03 08 31 34 47 + 09 11
140527042: 07 13 16 25 26 + 01 06
140530043: 05 24 27 41 45 + 06 07
140603044: 02 15 32 39 44 + 05 10
140606045: 07 25 34 40 49 + 09 11
140610046: 12 18 21 32 33 + 01 11
140613047: 16 18 22 28 46 + 09 11
140617048: 11 13 37 40 48 + 08 09
140620049: 05 15 25 38 49 + 01 02
140624050: 01 07 20 21 48 + 04 07
140627051: 31 33 34 39 45 + 02 10
140701052: 18 22 25 27 39 + 05 10
140704053: 04 18 39 43 47 + 02 06
140708054: 08 18 22 24 27 + 04 11
140711055: 05 22 35 38 49 + 04 07
140715056: 15 18 20 27 34 + 01 03
140718057: 01 11 29 41 43 + 03 11
140722058: 01 24 43 45 50 + 05 08
140725059: 09 10 12 24 43 + 05 09
140729060: 10 23 35 40 43 + 03 09
140801061: 24 44 46 48 50 + 05 10
140805062: 05 07 19 21 42 + 05 11
140808063: 21 29 35 43 46 + 01 09
140812064: 07 16 19 22 33 + 02 05
140815065: 04 05 21 23 30 + 08 10
140819066: 04 07 11 34 47 + 07 08
140822067: 04 17 29 35 49 + 01 02
140826068: 10 22 36 45 48 + 04 11
140829069: 02 09 26 32 38 + 03 06
140902070: 05 25 31 39 45 + 01 08
140905071: 01 18 23 46 50 + 03 09
140909072: 08 15 19 24 35 + 08 10
140912073: 09 13 26 31 33 + 07 11
140916074: 04 29 30 35 50 + 02 04
140919075: 06 08 34 38 48 + 03 09
140923076: 12 13 14 29 35 + 01 07
140926077: 13 27 35 46 47 + 01 02
140930078: 03 13 15 33 42 + 05 07
141003079: 04 13 23 48 50 + 05 10
141007080: 09 21 28 30 38 + 01 08
141010081: 06 29 42 45 47 + 09 10
141014082: 04 05 15 23 32 + 03 07
141017083: 01 13 40 48 49 + 08 10
141021084: 20 21 27 33 40 + 03 10
141024085: 03 09 20 30 42 + 01 06
141028086: 10 15 17 40 45 + 01 02
141031087: 10 13 20 33 41 + 03 09
141104088: 01 06 13 17 26 + 03 05
141107089: 13 25 32 38 46 + 01 10
141111090: 02 14 21 36 46 + 07 11
141114091: 17 32 36 38 48 + 05 08
141118092: 02 03 17 36 38 + 04 11
141121093: 04 07 28 32 37 + 05 10
141125094: 03 07 25 32 36 + 01 06
141128095: 06 10 15 23 41 + 04 10
141202096: 03 15 25 44 49 + 01 09
141205097: 05 08 37 47 48 + 02 03
141209098: 01 03 31 42 46 + 04 11
141212099: 02 15 28 31 37 + 04 06
141216100: 03 07 12 13 25 + 05 08
141219101: 23 29 31 39 44 + 05 08
141223102: 08 09 19 25 49 + 02 10
141226103: 17 26 27 45 49 + 02 03
141230104: 06 18 39 44 50 + 08 11
150102001: 22 24 25 28 49 + 03 06
150106002: 14 20 30 38 49 + 03 04
150109003: 06 21 24 32 45 + 01 11
150113004: 08 17 21 31 34 + 09 10
150116005: 29 30 32 34 46 + 03 06
150120006: 15 33 41 44 47 + 08 10
150123007: 06 29 30 38 45 + 01 08
150127008: 05 10 31 33 40 + 08 10
150130009: 09 13 15 19 24 + 03 08
150203010: 17 31 33 44 50 + 07 11
150206011: 10 26 30 39 50 + 07 08
150210012: 13 17 20 30 45 + 09 10
150213013: 12 24 39 42 44 + 03 11
150217014: 02 05 18 30 43 + 01 10
150220015: 04 10 14 37 46 + 04 07
150224016: 03 25 28 34 50 + 01 11
150227017: 05 14 17 25 47 + 09 10
150303018: 06 08 11 13 21 + 07 08
150306019: 23 30 47 49 50 + 02 07
150310020: 02 06 23 30 31 + 02 10
150313021: 04 05 18 22 23 + 01 03
150317022: 11 23 26 38 44 + 01 08
150320023: 03 14 37 42 48 + 01 10
150324024: 10 24 26 39 40 + 03 10
150327025: 02 30 32 39 44 + 06 10
150331026: 08 20 24 28 49 + 08 09
150403027: 27 29 37 39 49 + 02 04
150407028: 18 25 39 44 50 + 05 08
150410029: 22 23 25 30 43 + 05 09
150414030: 24 32 34 35 49 + 01 02
150417031: 02 24 30 34 39 + 08 11
150421032: 06 14 17 42 45 + 01 08
150424033: 05 19 29 31 40 + 03 10
150428034: 24 26 28 36 45 + 07 10
150501035: 03 19 20 25 26 + 06 10
150505036: 01 10 17 20 42 + 08 09
150508037: 07 14 19 47 49 + 03 10
150512038: 14 29 30 40 46 + 03 06
150515039: 05 35 42 44 47 + 08 09
150519040: 26 30 31 35 37 + 08 11
150522041: 18 24 35 44 45 + 05 11
150526042: 05 06 07 21 24 + 05 06
150529043: 03 04 20 45 48 + 06 08
150602044: 07 23 29 37 41 + 01 08
150605045: 02 07 08 45 48 + 01 09
150609046: 05 09 17 32 34 + 06 08
150612047: 05 08 10 11 37 + 07 09
150616048: 10 15 16 36 37 + 03 09
150619049: 07 14 20 31 42 + 03 09
150623050: 04 16 22 38 49 + 06 09
150626051: 03 06 10 19 24 + 05 07
150630052: 11 15 28 34 37 + 01 08
150703053: 11 12 15 18 44 + 03 09
150707054: 06 07 18 33 41 + 03 10
150710055: 05 08 15 35 41 + 04 05
150714056: 06 18 19 34 36 + 01 08
150717057: 01 21 22 43 48 + 07 09
150721058: 14 20 27 29 44 + 07 10
150724059: 02 09 21 35 46 + 02 11
150728060: 23 32 36 43 49 + 07 08
150731061: 16 21 34 40 50 + 06 09
150804062: 10 15 39 45 50 + 09 10
150807063: 01 05 21 39 44 + 04 11
150811064: 02 03 08 15 16 + 04 11
150814065: 04 07 39 44 45 + 03 05
150818066: 07 10 11 12 19 + 02 09
150821067: 04 16 18 43 47 + 06 10
150825068: 27 31 33 42 50 + 02 05
150828069: 11 29 30 31 34 + 04 07
150901070: 06 19 21 27 45 + 01 08
150904071: 08 09 27 45 50 + 08 10
150908072: 14 16 39 40 42 + 01 04
150911073: 10 18 19 29 50 + 01 09
150915074: 08 15 17 44 49 + 05 08
150918075: 07 29 33 34 39 + 07 08
150922076: 14 23 26 27 29 + 07 10
150925077: 13 14 23 30 37 + 02 08
150929078: 11 14 26 29 49 + 03 09
151002079: 07 18 21 32 35 + 02 11
151006080: 11 20 22 29 32 + 01 08
151009081: 01 40 42 43 47 + 09 11
151013082: 12 15 26 29 47 + 03 11
151016083: 07 28 29 43 48 + 03 10
151020084: 17 19 21 30 45 + 08 10
151023085: 07 25 30 32 39 + 02 08
151027086: 11 12 20 25 36 + 06 09
151030087: 08 13 17 21 34 + 06 07
151103088: 08 27 39 46 49 + 02 06
151106089: 03 17 26 38 40 + 04 10
151110090: 06 13 18 39 43 + 02 08
151113091: 10 17 18 33 40 + 02 08
151117092: 06 07 23 37 38 + 10 11
151120093: 04 30 34 46 49 + 07 08
151124094: 09 14 16 17 26 + 10 11
151127095: 16 29 30 37 50 + 06 08
151201096: 02 15 25 35 45 + 08 10
151204097: 08 17 18 27 39 + 01 07
151208098: 12 17 29 38 48 + 09 11
151211099: 03 05 21 40 43 + 06 11
151215100: 08 11 23 27 35 + 04 11
151218101: 06 22 26 29 48 + 05 06
151222102: 18 19 20 40 41 + 07 10
151225103: 03 10 25 27 40 + 03 09
151229104: 05 20 31 32 36 + 06 07
160101001: 04 37 38 39 44 + 04 07
160105002: 06 10 31 36 39 + 06 10
160108003: 05 26 33 35 40 + 03 08
160112004: 01 02 10 30 44 + 01 08
160115005: 10 19 38 43 46 + 01 11
160119006: 02 30 38 43 46 + 02 07
160122007: 10 12 27 30 47 + 08 09
160126008: 15 24 38 40 48 + 02 09
160129009: 01 05 23 29 32 + 01 07
160202010: 06 09 10 21 36 + 02 06
160205011: 03 27 32 41 46 + 04 08
160209012: 06 09 13 28 37 + 04 05
160212013: 03 20 28 31 49 + 02 05
160216014: 03 10 22 37 50 + 06 10
160219015: 13 14 30 32 39 + 03 09
160223016: 23 25 32 37 42 + 01 11
160226017: 05 13 15 33 50 + 09 11
160301018: 04 07 13 28 37 + 10 11
160304019: 09 14 16 23 40 + 01 05
160308020: 01 08 09 14 23 + 01 07
160311021: 01 21 26 40 43 + 06 09
160315022: 05 07 10 34 44 + 02 10
160318023: 14 19 21 24 49 + 05 11
160322024: 12 15 26 42 49 + 05 08
160325025: 12 19 36 42 43 + 05 08
160329026: 01 04 19 25 36 + 03 11
160401027: 02 16 23 25 49 + 06 09
160405028: 03 05 09 19 40 + 02 05
160408029: 06 08 26 43 49 + 06 10
160412030: 01 05 09 22 38 + 02 10
160415031: 13 14 32 37 48 + 01 07
160419032: 11 14 15 27 44 + 02 07
160422033: 17 26 32 34 43 + 02 10
160426034: 10 17 31 32 42 + 02 05
160429035: 04 05 25 28 43 + 06 11
160503036: 08 23 24 34 38 + 03 07
160506037: 32 34 40 45 48 + 01 10
160510038: 02 26 27 40 49 + 05 10
160513039: 07 15 28 31 42 + 10 11
160517040: 15 27 32 36 39 + 03 10
160520041: 09 14 30 41 45 + 04 09
160524042: 16 17 23 34 37 + 06 09
160527043: 13 25 27 43 46 + 04 08
160531044: 06 12 26 30 48 + 06 07
160603045: 07 23 31 33 39 + 06 10
160607046: 19 26 35 45 49 + 02 05
160610047: 14 21 35 42 43 + 07 09
160614048: 13 34 39 42 50 + 09 11
160617049: 01 07 18 27 43 + 04 08
160621050: 05 17 32 35 49 + 01 05
160624051: 11 19 27 28 39 + 03 10
160628052: 26 32 37 43 49 + 04 05
160701053: 02 11 13 40 50 + 01 10
160705054: 01 10 29 38 48 + 03 04
160708055: 08 12 18 33 44 + 04 08
160712056: 03 07 26 33 41 + 02 10
160715057: 02 11 13 14 21 + 01 08
160719058: 19 24 28 36 37 + 03 06
160722059: 07 24 26 37 45 + 05 09
160726060: 03 10 13 45 49 + 02 11
160729061: 01 21 26 40 50 + 02 04
160802062: 02 08 27 38 46 + 02 06
160805063: 16 19 24 35 37 + 02 07
160809064: 12 19 43 44 45 + 05 10
160812065: 02 15 28 36 50 + 02 11
160816066: 02 26 34 37 46 + 04 08
160819067: 05 06 22 25 34 + 05 07
160823068: 02 23 31 37 45 + 04 08
160826069: 01 09 28 30 48 + 07 08
160830070: 13 16 29 35 42 + 06 08
160902071: 08 16 32 40 50 + 02 11
160906072: 12 24 30 34 45 + 07 10
160909073: 04 11 15 17 28 + 01 03
160913074: 04 07 16 35 44 + 01 03
160916075: 05 08 14 22 32 + 02 11
160920076: 01 04 10 41 45 + 06 09
160923077: 14 16 39 42 49 + 03 09
160927078: 06 09 13 39 41 + 02 12
160930079: 17 35 37 43 44 + 02 10
161004080: 04 07 14 34 38 + 04 11
161007081: 02 12 20 27 30 + 09 11
161011082: 05 12 20 24 37 + 04 11
161014083: 07 13 19 31 34 + 01 11
161018084: 02 17 21 25 27 + 06 09
161021085: 09 20 23 44 48 + 08 10
161025086: 03 15 20 21 28 + 01 05
161028087: 10 16 19 23 43 + 02 08
161101088: 06 10 20 29 37 + 01 09
161104089: 07 11 12 44 48 + 03 07
161108090: 05 09 47 49 50 + 08 09
161111091: 03 22 23 38 49 + 02 09
161115092: 07 15 36 42 48 + 03 07
161118093: 03 12 27 32 47 + 06 08
161122094: 05 10 33 34 47 + 02 10
161125095: 05 11 17 23 28 + 10 11
161129096: 21 26 27 28 38 + 09 11
161202097: 06 11 23 31 32 + 02 12
161206098: 01 07 11 27 45 + 04 09
161209099: 06 12 28 37 40 + 01 05
161213100: 14 28 29 48 50 + 02 08
161216101: 06 10 30 41 45 + 04 11
161220102: 13 15 17 21 27 + 02 03
161223103: 04 16 20 39 46 + 02 05
161227104: 03 22 25 32 39 + 07 12
161230105: 08 10 22 29 47 + 01 03
170103001: 19 23 27 34 49 + 01 11
170106002: 10 14 18 21 49 + 09 11
170110003: 02 11 29 35 44 + 04 09
170113004: 03 07 16 26 50 + 04 07
170117005: 04 16 25 43 47 + 02 10
170120006: 10 17 27 31 49 + 03 05
170124007: 01 05 07 17 23 + 03 08
170127008: 17 20 28 45 48 + 05 09
170131009: 03 04 17 23 44 + 06 09
170203010: 03 04 15 46 50 + 05 09
170207011: 04 10 31 38 44 + 08 10
170210012: 07 21 26 35 43 + 02 09
170214013: 02 10 24 40 44 + 03 10
170217014: 19 25 33 36 48 + 02 09
170221015: 13 19 41 45 49 + 03 04
170224016: 02 04 13 22 43 + 08 09
170228017: 10 20 31 35 42 + 02 12
170303018: 02 11 29 30 47 + 01 12
170307019: 06 37 41 48 50 + 04 05
170310020: 31 36 38 47 49 + 08 11
170314021: 03 05 21 36 44 + 03 06
170317022: 06 10 19 29 36 + 03 09
170321023: 01 20 23 44 47 + 04 11
170324024: 02 17 21 27 34 + 05 09
170328025: 09 13 31 33 46 + 06 10
170331026: 17 24 26 28 45 + 04 12
170404027: 01 09 24 33 34 + 02 06
170407028: 02 10 19 35 50 + 06 07
170411029: 05 21 22 31 49 + 02 08
170414030: 04 14 20 23 33 + 06 10
170418031: 17 22 31 38 45 + 05 12
170421032: 02 13 16 22 49 + 04 05
170425033: 09 11 19 32 43 + 03 09
170428034: 14 20 25 30 39 + 02 08
170502035: 06 19 23 25 27 + 11 12
170505036: 03 07 30 35 43 + 01 03
170509037: 08 12 16 22 26 + 06 07
170512038: 02 20 28 29 44 + 03 09
170516039: 08 11 15 20 30 + 03 08
170519040: 09 11 12 19 30 + 04 09
170523041: 08 15 25 27 42 + 01 04
170526042: 05 07 26 36 39 + 02 10
170530043: 07 12 27 38 48 + 06 09
170602044: 08 10 24 33 42 + 03 09
170606045: 20 22 25 37 40 + 03 07
170609046: 09 20 27 39 43 + 10 11
170613047: 03 12 22 27 49 + 04 11
170616048: 15 17 38 41 42 + 09 12
170620049: 11 18 26 43 44 + 08 10
170623050: 03 04 21 31 38 + 03 07
170627051: 09 17 21 28 45 + 01 03
170630052: 17 35 39 47 50 + 06 08
170704053: 10 22 25 37 49 + 05 08
170707054: 11 20 35 37 45 + 03 06
170711055: 14 22 26 42 50 + 08 10
170714056: 11 14 20 21 47 + 07 10
170718057: 01 25 27 41 45 + 05 07
170721058: 01 08 09 26 49 + 05 09
170725059: 12 14 43 44 48 + 02 11
170728060: 05 09 29 31 41 + 02 04
170801061: 14 21 24 29 30 + 08 10
170804062: 29 30 36 40 41 + 02 09
170808063: 15 25 26 40 41 + 04 05
170811064: 18 28 39 46 48 + 05 12
170815065: 10 14 30 35 46 + 04 10
170818066: 02 24 39 42 45 + 02 08
170822067: 03 10 12 17 27 + 03 05
170825068: 01 05 07 15 47 + 09 12
170829069: 04 12 15 32 38 + 01 05
170901070: 03 07 08 14 49 + 05 08
170905071: 06 09 18 28 29 + 01 09
170908072: 09 24 42 47 49 + 01 05
170912073: 10 17 27 29 35 + 04 11
170915074: 13 18 37 44 49 + 09 12
170919075: 01 08 21 30 45 + 02 03
170922076: 06 11 31 39 42 + 01 03
170926077: 01 29 40 41 48 + 06 12
170929078: 07 18 19 32 48 + 03 07
171003079: 06 24 32 48 50 + 01 05
171006080: 01 09 15 19 25 + 01 07
171010081: 04 21 34 36 37 + 03 06
171013082: 23 29 37 45 50 + 05 11
171017083: 13 17 19 26 36 + 02 03
171020084: 04 17 23 27 30 + 03 08
171024085: 09 11 13 27 33 + 07 10
171027086: 03 16 23 32 39 + 01 04
171031087: 01 12 36 43 46 + 03 05
171103088: 05 12 17 33 41 + 04 09
171107089: 07 19 20 37 41 + 02 12
171110090: 13 22 29 36 37 + 01 09
171114091: 14 16 39 40 41 + 08 10
171117092: 20 26 35 36 42 + 05 12
171121093: 02 10 14 28 31 + 05 07
171124094: 19 24 28 30 50 + 03 10
171128095: 01 06 12 18 42 + 02 07
171201096: 05 24 29 35 46 + 11 12
171205097: 11 36 43 44 48 + 02 07
171208098: 04 22 30 32 34 + 03 04
171212099: 20 37 39 44 50 + 04 08
171215100: 25 30 31 42 50 + 02 11
171219101: 08 15 30 38 46 + 04 07
171222102: 05 24 30 31 43 + 03 06
171226103: 04 17 30 43 44 + 02 10
171229104: 04 08 22 23 48 + 01 12
180102001: 10 20 21 28 48 + 01 08
180105002: 02 05 20 38 41 + 04 08
180109003: 06 12 15 38 49 + 02 09
180112004: 13 21 23 30 45 + 04 06
180116005: 20 23 31 34 46 + 03 12
180119006: 03 08 17 44 50 + 02 07
180123007: 05 08 09 23 24 + 07 08
180126008: 06 15 24 28 48 + 04 09
180130009: 11 15 21 27 35 + 04 05
180202010: 14 34 36 39 48 + 02 03
180206011: 08 17 28 34 38 + 06 12
180209012: 22 31 36 38 44 + 01 11
180213013: 10 13 17 21 44 + 01 10
180216014: 10 12 23 32 50 + 04 10
180220015: 06 14 19 25 29 + 05 11
180223016: 10 17 18 28 47 + 03 07
180227017: 03 31 41 48 50 + 08 11
180302018: 02 07 34 45 48 + 01 12
180306019: 15 20 26 31 44 + 02 09
180309020: 09 14 21 32 44 + 01 12
180313021: 09 11 13 33 49 + 06 12
180316022: 04 17 24 27 31 + 10 11
180320023: 26 29 37 39 44 + 09 11
180323024: 05 07 11 46 50 + 08 11
180327025: 17 20 23 40 46 + 09 10
180330026: 12 17 28 35 47 + 07 11
180403027: 03 08 16 40 43 + 05 08
180406028: 01 29 33 45 47 + 04 08
180410029: 14 27 39 46 48 + 11 12
180413030: 05 25 34 48 50 + 06 07
180417031: 15 27 33 39 50 + 04 06
180420032: 03 16 25 39 44 + 07 11
180424033: 20 23 28 30 44 + 03 07
180427034: 12 24 40 41 46 + 05 12
180501035: 06 15 17 42 48 + 04 06
180504036: 06 12 23 39 45 + 09 12
180508037: 17 25 35 39 44 + 02 05
180511038: 03 22 34 49 50 + 08 11
180515039: 04 16 20 31 39 + 02 12
180518040: 05 08 10 13 31 + 03 06
180522041: 01 11 37 41 48 + 08 12
180525042: 13 15 16 28 41 + 04 05
180529043: 06 11 20 38 43 + 02 04
180601044: 17 18 24 29 40 + 04 05
180605045: 09 15 22 39 46 + 04 05
180608046: 08 19 32 43 46 + 02 08
180612047: 07 21 23 36 38 + 06 08
180615048: 23 26 33 38 49 + 01 12
180619049: 07 19 26 42 50 + 04 09
180622050: 14 25 39 41 44 + 02 08
180626051: 15 16 20 34 50 + 04 07
180629052: 15 21 23 40 48 + 03 12
180703053: 01 12 15 29 48 + 03 05
180706054: 08 30 33 38 48 + 02 10
180710055: 03 08 26 33 45 + 07 10
180713056: 01 04 14 21 49 + 02 12
180717057: 04 06 27 48 50 + 01 11
180720058: 02 15 40 43 46 + 03 06
180724059: 02 04 23 39 40 + 03 09
180727060: 11 17 22 23 41 + 06 11
180731061: 20 25 34 42 45 + 06 11
180803062: 07 26 36 38 43 + 06 12
180807063: 16 28 29 30 36 + 08 10
180810064: 18 20 36 43 44 + 03 09
180814065: 01 15 18 25 31 + 09 11
180817066: 02 15 18 24 43 + 08 12
180821067: 16 23 42 43 49 + 10 12
180824068: 03 14 31 36 50 + 01 12
180828069: 04 16 32 42 46 + 08 12
180831070: 04 30 31 38 42 + 04 06
180904071: 05 14 28 30 47 + 04 11
180907072: 04 23 27 31 50 + 01 08
180911073: 09 18 32 38 46 + 02 03
180914074: 01 03 33 40 45 + 03 04
180918075: 03 08 10 32 45 + 04 12
180921076: 05 07 21 25 37 + 03 04
180925077: 06 15 20 30 38 + 04 07
180928078: 02 04 08 27 50 + 02 09
181002079: 07 17 29 37 45 + 03 11
181005080: 08 16 24 26 35 + 03 11
181009081: 03 12 36 44 45 + 08 11
181012082: 04 09 12 31 43 + 05 08
181016083: 15 28 37 40 42 + 01 06
181019084: 01 03 29 47 48 + 03 12
181023085: 01 02 05 21 32 + 02 12
181026086: 05 18 21 31 35 + 06 09
181030087: 17 23 27 43 44 + 01 12
181102088: 05 15 17 37 44 + 07 11
181106089: 14 24 36 40 43 + 02 09
181109090: 14 17 32 37 49 + 11 12
181113091: 02 07 10 13 42 + 03 06
181116092: 09 10 13 28 41 + 01 12
181120093: 06 19 39 45 48 + 07 12
181123094: 05 08 25 26 30 + 03 10
181127095: 04 16 17 18 32 + 02 11
181130096: 03 10 12 23 26 + 01 12
181204097: 19 20 21 42 45 + 08 09
181207098: 11 17 26 37 48 + 01 10
181211099: 04 07 13 23 42 + 01 03
181214100: 12 29 38 42 44 + 02 12
181218101: 01 09 18 39 48 + 05 07
181221102: 02 12 15 34 50 + 03 04
181225103: 04 05 08 31 43 + 02 09
181228104: 13 16 34 35 45 + 10 12
190101001: 01 08 11 25 28 + 04 06
190104002: 07 11 19 27 37 + 06 10
190108003: 03 19 22 31 32 + 02 11
190111004: 01 19 31 39 48 + 01 06
190115005: 22 25 29 33 35 + 03 06
190118006: 05 06 16 30 46 + 05 10
190122007: 09 23 29 41 49 + 08 10
190125008: 01 06 13 15 16 + 06 10
190129009: 14 24 26 32 39 + 03 08
190201010: 03 21 26 41 46 + 01 06
190205011: 14 25 31 37 43 + 02 03
190208012: 11 12 13 39 46 + 07 10
190212013: 06 34 36 41 50 + 01 05
190215014: 15 27 34 38 49 + 02 10
190219015: 01 08 18 19 39 + 07 09
190222016: 03 27 29 33 50 + 03 07
190226017: 03 15 29 35 47 + 03 04
190301018: 06 09 19 26 31 + 11 12
190305019: 06 10 16 39 46 + 08 11
190308020: 17 18 19 24 40 + 04 08
190312021: 05 07 13 19 31 + 02 09
190315022: 03 15 24 42 46 + 09 12
190319023: 01 06 09 34 47 + 07 12
190322024: 04 17 26 30 43 + 06 11
190326025: 12 19 23 43 47 + 02 06
190329026: 13 23 26 32 47 + 06 10
190402027: 02 09 16 26 36 + 06 07
190405028: 01 07 10 29 45 + 03 05
190409029: 18 21 29 38 41 + 01 11
190412030: 01 28 35 36 46 + 06 09
190416031: 01 08 15 44 49 + 02 11
190419032: 07 08 32 41 49 + 05 11
190423033: 18 23 27 42 44 + 02 07
190426034: 14 33 35 47 50 + 09 11
190430035: 05 12 20 26 48 + 02 11
190503036: 02 09 20 27 43 + 05 06
190507037: 07 20 26 32 47 + 02 11
190510038: 01 04 27 45 48 + 01 07
190514039: 10 14 17 25 50 + 02 10
190517040: 16 28 42 43 45 + 06 07
190521041: 32 33 34 39 47 + 08 12
190524042: 05 16 23 30 49 + 06 07
190528043: 07 19 20 28 29 + 01 05
190531044: 01 23 24 26 35 + 01 11
190604045: 09 31 32 39 41 + 02 08
190607046: 01 04 16 20 34 + 02 05
190611047: 25 27 39 42 46 + 11 12
190614048: 01 13 30 31 39 + 02 07
190618049: 12 24 37 40 44 + 03 07
190621050: 05 08 09 25 39 + 03 07
190625051: 06 26 27 34 46 + 01 09
190628052: 01 03 16 33 49 + 02 11
190702053: 11 19 29 44 45 + 08 12
190705054: 02 09 20 34 42 + 06 09
190709055: 07 29 32 36 41 + 06 07
190712056: 02 31 39 45 47 + 04 08
190716057: 03 05 13 18 39 + 07 08
190719058: 13 14 17 26 28 + 02 07
190723059: 01 14 19 23 38 + 03 07
190726060: 02 05 27 37 42 + 03 10
190730061: 15 20 23 27 40 + 03 06
190802062: 13 22 33 44 50 + 02 05
190806063: 12 13 29 36 38 + 04 12
190809064: 02 14 35 41 42 + 10 11
190813065: 13 29 31 33 40 + 02 03
190816066: 09 10 27 37 42 + 01 05
190820067: 20 22 23 24 37 + 01 04
190823068: 04 17 35 42 45 + 02 08
190827069: 08 26 35 43 47 + 01 09
190830070: 25 27 45 46 49 + 04 06
190903071: 07 11 38 39 44 + 07 10
190906072: 10 13 22 40 48 + 02 05
190910073: 03 22 25 30 49 + 03 06
190913074: 01 12 27 42 47 + 06 07
190917075: 22 37 43 44 45 + 01 12
190920076: 08 21 25 38 50 + 04 08
190924077: 02 33 42 47 48 + 01 02
190927078: 24 37 41 43 46 + 02 08
191001079: 02 11 18 40 46 + 01 04
191004080: 06 09 35 41 44 + 06 09
191008081: 07 10 15 44 49 + 03 12
191011082: 02 14 19 42 45 + 05 06
191015083: 03 28 31 32 34 + 04 05
191018084: 08 18 22 41 42 + 11 12
191022085: 02 05 32 33 47 + 07 08
191025086: 34 37 39 40 50 + 04 10
191029087: 16 18 28 42 49 + 05 10
191101088: 02 20 39 44 48 + 05 07
191105089: 09 14 25 33 48 + 02 12
191108090: 08 17 20 23 45 + 02 08
191112091: 01 21 23 25 39 + 02 04
191115092: 03 13 20 32 34 + 04 11
191119093: 08 10 15 30 42 + 04 06
191122094: 03 21 32 34 48 + 03 11
191126095: 02 03 15 19 34 + 05 08
191129096: 03 07 12 42 50 + 06 08
191203097: 18 31 32 38 48 + 04 12
191206098: 01 03 27 39 46 + 01 10
191210099: 02 10 19 21 47 + 02 08
191213100: 09 16 18 23 32 + 02 10
191217101: 01 07 12 25 49 + 06 09
191220102: 08 24 30 32 34 + 03 04
191224103: 03 11 13 14 47 + 03 06
191227104: 01 07 22 26 35 + 05 10
191231105: 26 31 33 41 48 + 02 04
200103001: 05 15 20 36 47 + 08 12
200107002: 05 08 12 37 43 + 06 11
